Novak.Djokovic,1987,5,22
Andy.Murray,1987,5,15
David.Ferrer,1982,4,2
Rafael.Nadal,1986,6,3
Roger.Federer,1981,8,8
Tomas.Berdych,1985,9,17
Juan Martin.del Potro,1988,9,23
Jo-Wilfried.Tsonga,1985,4,17
Richard.Gasquet,1986,6,18
Stanislas.Wawrinka,1985,3,28
